#time   msd   diff_coeff 
4305 3420.33 0.397251
4310 3419.2 0.396659
4315 3418.03 0.396064
4320 3416.75 0.395457
4325 3415.16 0.394816
4330 3413.75 0.394197
4335 3412.27 0.393572
4340 3410.67 0.392934
4345 3408.98 0.392288
4350 3407.01 0.39161
4355 3404.89 0.390917
4360 3402.9 0.390241
4365 3400.73 0.389545
4370 3398.58 0.388854
4375 3396.33 0.388152
4380 3394 0.387443
4385 3391.61 0.386729
4390 3389.27 0.386022
4395 3387.08 0.385333
4400 3384.94 0.384652
4405 3382.82 0.383975
4410 3380.56 0.383283
4415 3378.03 0.382563
4420 3375.82 0.38188
4425 3373.74 0.381214
4430 3371.63 0.380545
4435 3369.55 0.379882
4440 3367.96 0.379275
4445 3366.57 0.378692
4450 3365.14 0.378106
4455 3363.56 0.377504
4460 3361.89 0.376893
4465 3360.24 0.376287
4470 3358.61 0.375683
4475 3356.8 0.375061
4480 3355.02 0.374444
4485 3353.4 0.373846
4490 3351.76 0.373247
4495 3349.97 0.372633
4500 3347.76 0.371973
4505 3345.65 0.371326
4510 3343.38 0.370663
4515 3340.87 0.369975
4520 3338.38 0.36929
4525 3335.89 0.368607
4530 3333.27 0.367911
4535 3330.72 0.367224
4540 3328.36 0.366559
4545 3326.05 0.365902
4550 3323.85 0.365258
4555 3321.72 0.364623
4560 3319.36 0.363965
4565 3317.05 0.363313
4570 3314.79 0.362668
4575 3312.33 0.362003
4580 3309.62 0.361312
4585 3306.57 0.360586
4590 3303.33 0.35984
4595 3300.22 0.35911
4600 3297.13 0.358384
4605 3293.85 0.357638
4610 3290.66 0.356905
4615 3287.44 0.356169
4620 3284.17 0.35543
4625 3280.75 0.354676
4630 3277.16 0.353905
4635 3273.53 0.353132
4640 3269.77 0.352346
4645 3265.79 0.351538
4650 3261.6 0.35071
4655 3257.21 0.349861
4660 3252.51 0.348982
4665 3247.86 0.348109
4670 3243.21 0.347239
4675 3238.54 0.346368
4680 3233.7 0.345481
4685 3228.72 0.344581
4690 3223.85 0.343694
4695 3218.86 0.342797
4700 3213.79 0.341893
4705 3208.59 0.340977
4710 3203.41 0.340065
4715 3198.39 0.339172
4720 3193.35 0.338279
4725 3188.49 0.337406
4730 3183.96 0.336571
4735 3179.27 0.33572
4740 3174.33 0.334845
4745 3169.39 0.333972
4750 3164.76 0.333133
4755 3160.09 0.332291
4760 3155.78 0.331489
4765 3151.5 0.330693
4770 3147.17 0.329892
4775 3142.69 0.329077
4780 3138.11 0.328254
4785 3133.4 0.327419
4790 3128.48 0.326564
4795 3123.53 0.325707
4800 3118 0.324792
4805 3111.99 0.323828
4810 3105.81 0.322849
4815 3099.9 0.3219
4820 3094.34 0.32099
4825 3088.32 0.320033
4830 3082.35 0.319084
4835 3076.36 0.318134
4840 3070.14 0.317163
4845 3063.77 0.316179
4850 3057.58 0.315214
4855 3051.27 0.31424
4860 3044.82 0.313253
4865 3038.17 0.312248
4870 3031.41 0.311233
4875 3024.35 0.31019
4880 3017.32 0.309152
4885 3010.31 0.308118
4890 3003.3 0.307086
4895 2996.43 0.30607
4900 2989.41 0.305042
4905 2982.42 0.304018
4910 2975.63 0.303017
4915 2968.75 0.302009
4920 2962.04 0.30102
4925 2955.59 0.30006
4930 2949.39 0.299127
4935 2943.25 0.298202
4940 2937.25 0.297293
4945 2931.36 0.296396
4950 2925.34 0.295489
4955 2919.27 0.294578
4960 2913.23 0.293672
4965 2906.88 0.292737
4970 2900.49 0.2918
4975 2894.3 0.290884
4980 2888.21 0.289981
4985 2882.26 0.289093
4990 2876.29 0.288205
4995 2870.2 0.287307
5000 2864.18 0.286418
