LAMMPS (2 Aug 2023 - Update 1)
Reading data file ...
  orthogonal box = (0 0 0) to (34.9641 31.7217 30)
  3 by 2 by 1 MPI processor grid
  reading atoms ...
  157 atoms
  scanning bonds ...
  2 = max bonds/atom
  scanning angles ...
  1 = max angles/atom
  reading bonds ...
  2 bonds
  reading angles ...
  1 angles
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     2 = max # of 1-2 neighbors
     1 = max # of 1-3 neighbors
     1 = max # of 1-4 neighbors
     2 = max # of special neighbors
  special bonds CPU = 0.000 seconds
  read_data CPU = 0.006 seconds
3 atoms in group water
Setting atom values ...
  1 settings made for charge
Setting atom values ...
  2 settings made for charge
Generated 0 of 3 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 6 6 5
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/smooth/linear, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
WARNING: Dump mydump includes no atom IDs and is not sorted by ID. This may complicate post-processing tasks or visualization (../dump.cpp:221)
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 6.595 | 6.641 | 6.866 Mbytes
     Time         Step          Temp         c_Twater        PotEng         KinEng         TotEng       Ndanger      c_COM[1]       c_COM[2]       c_COM[3]   
 141               141000   0.74239975     20.302335     -0.050777297    0.014970181   -0.035807115            0   22.083649      19.865184      11.642442    
 142               142000   1.1658385      75.851087     -0.064868298    0.023508646   -0.041359651            0   23.415928      20.268394      11.465531    
 143               143000   1.958611       133.64142     -0.049692618    0.039494573   -0.010198045            0   22.697822      20.22096       11.708606    
 144               144000   1.0513611      36.310369     -0.054161523    0.021200258   -0.032961265            0   24.007298      18.676121      11.64291     
 145               145000   0.33091158     14.280641     -0.053003616    0.0066726939  -0.046330922            0   24.515216      18.849217      11.716602    
 146               146000   1.7913185      101.70759     -0.062803351    0.03612119    -0.026682161            0   24.29945       18.678432      11.615196    
 147               147000   1.0423149      65.748768     -0.052395047    0.021017846   -0.031377201            0   24.18288       19.007367      11.761372    
 148               148000   0.53877318     27.01162      -0.061713083    0.010864136   -0.050848947            0   24.11954       18.994947      11.680456    
 149               149000   0.51712602     39.92444      -0.056361301    0.01042763    -0.04593367             0   24.64835       18.743309      11.545279    
 150               150000   1.1193062      83.861531     -0.061788374    0.022570343   -0.039218031            0   25.818487      18.790733      11.307783    
 151               151000   0.62238754     20.748304     -0.060649566    0.012550185   -0.048099381            0   25.74005       18.736915      11.367466    
 152               152000   0.90416694     39.245301     -0.04096158     0.018232149   -0.022729431            0   25.918921      18.867732      11.279937    
 153               153000   1.7997012      126.10045     -0.038502001    0.036290224   -0.0022117767           0   26.150561      18.321508      11.665822    
 154               154000   1.1103983      65.548271     -0.061319409    0.022390719   -0.03892869             0   26.569241      17.376729      11.656972    
 155               155000   0.87015042     50.03456      -0.041588744    0.01754622    -0.024042524            0   26.490714      17.131198      11.640957    
 156               156000   0.99797774     39.593874     -0.034283705    0.020123805   -0.014159901            0   26.761849      17.266959      11.818301    
 157               157000   0.80226196     17.697774     -0.039164456    0.016177278   -0.022987178            0   26.379779      17.451413      11.888673    
 158               158000   1.0342397      66.710383     -0.058873167    0.020855011   -0.038018155            0   26.704197      17.318938      11.450501    
